,host_id,room_type,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
380,6219661,Entire home/apt,19,4.5,6,3,599,53.361472,-6.244222
381,16583015,Entire home/apt,22,5,9,5,372,53.389541,-6.128743
382,60193864,Entire home/apt,33,4.5,5,2,199,53.35064,-6.268739
383,1689456,Entire home/apt,0,0,8,4,1079,53.332128,-6.244826
384,21865940,Entire home/apt,0,0,6,2,949,53.337023,-6.245183
385,22683363,Entire home/apt,13,5,6,3,359,53.341499,-6.24272
386,21233422,Entire home/apt,15,5,8,4,330,53.319504,-6.271562
387,26306461,Entire home/apt,22,5,5,3,482,53.327716,-6.248714
388,18801793,Entire home/apt,43,4.5,5,3,216,53.327511,-6.256957
389,2068233,Entire home/apt,11,5,6,3,312,53.341787,-6.266329
390,71110552,Entire home/apt,0,0,10,4,354,53.317976,-6.278955
391,58865547,Entire home/apt,1,0,4,3,480,53.345268,-6.248469
392,15393714,Entire home/apt,27,5,4,2,357,53.348979,-6.259375
393,26729430,Entire home/apt,2,0,8,4,359,53.286497,-6.135302
394,21376980,Entire home/apt,21,5,6,3,504,53.342621,-6.243096
395,27230707,Entire home/apt,9,4.5,5,2,218,53.342215,-6.278635
396,61628097,Entire home/apt,1,0,8,4,294,53.284948,-6.119749
397,4391736,Entire home/apt,3,5,6,3,198,53.324848,-6.273372
398,22150065,Entire home/apt,15,4,6,1,192,53.351997,-6.261974
399,132340845,Entire home/apt,2,0,6,3,204,53.376902,-6.400894
400,22150065,Entire home/apt,94,4.5,8,2,156,53.363688,-6.257384
401,22150065,Entire home/apt,85,4.5,8,2,145,53.364679,-6.256613
402,22150065,Entire home/apt,58,4,3,0,173,53.358899,-6.244984
